MATCH UP,W/L
BOS @ LAL,L
LAL vs. BOS,W
BOS @ LAL,L
LAL vs. BOS,W
BOS vs. LAL,W
LAL @ BOS,L
BOS vs. LAL,W
LAL @ BOS,L
LAL @ BOS,W
BOS vs. LAL,L
LAL vs. BOS,L
BOS @ LAL,W
BOS @ LAL,L
LAL vs. BOS,W
PHX vs. LAL,L
LAL @ PHX,W
BOS vs. ORL,W
ORL @ BOS,L
LAL vs. PHX,W
PHX @ LAL,L
BOS @ ORL,L
ORL vs. BOS,W
LAL @ PHX,L
PHX vs. LAL,W
BOS vs. ORL,L
ORL @ BOS,W
PHX vs. LAL,W
LAL @ PHX,L
BOS vs. ORL,W
ORL @ BOS,L
LAL vs. PHX,W
PHX @ LAL,L
BOS @ ORL,W
ORL vs. BOS,L
PHX @ LAL,L
LAL vs. PHX,W
BOS @ ORL,W
ORL vs. BOS,L
CLE @ BOS,L
BOS vs. CLE,W
BOS @ CLE,W
CLE vs. BOS,L
ORL @ ATL,W
ATL vs. ORL,L
LAL @ UTA,W
UTA vs. LAL,L
BOS vs. CLE,W
CLE @ BOS,L
PHX @ SAS,W
SAS vs. PHX,L
ORL @ ATL,W
ATL vs. ORL,L
LAL @ UTA,W
UTA vs. LAL,L
BOS vs. CLE,L
CLE @ BOS,W
PHX @ SAS,W
SAS vs. PHX,L
ORL vs. ATL,W
ATL @ ORL,L
PHX vs. SAS,W
SAS @ PHX,L
ATL @ ORL,L
ORL vs. ATL,W
LAL vs. UTA,W
UTA @ LAL,L
CLE vs. BOS,L
BOS @ CLE,W
SAS @ PHX,L
PHX vs. SAS,W
MIL @ ATL,L
ATL vs. MIL,W
UTA @ LAL,L
LAL vs. UTA,W
CLE vs. BOS,W
BOS @ CLE,L
OKC vs. LAL,L
LAL @ OKC,W
ATL @ MIL,W
MIL vs. ATL,L
DEN @ UTA,L
UTA vs. DEN,W
POR vs. PHX,L
PHX @ POR,W
DAL @ SAS,L
SAS vs. DAL,W
UTA @ DEN,L
DEN vs. UTA,W
ATL vs. MIL,L
MIL @ ATL,W
DAL vs. SAS,W
SAS @ DAL,L
CLE vs. CHI,W
CHI @ CLE,L
MIA @ BOS,L
BOS vs. MIA,W
OKC @ LAL,L
LAL vs. OKC,W
CHA vs. ORL,L
ORL @ CHA,W
ATL @ MIL,L
MIL vs. ATL,W
PHX vs. POR,W
POR @ PHX,L
DAL @ SAS,L
SAS vs. DAL,W
UTA vs. DEN,W
DEN @ UTA,L
BOS @ MIA,L
MIA vs. BOS,W
CLE @ CHI,W
CHI vs. CLE,L
ORL @ CHA,W
CHA vs. ORL,L
OKC vs. LAL,W
LAL @ OKC,L
ATL @ MIL,L
MIL vs. ATL,W
PHX @ POR,L
POR vs. PHX,W
UTA vs. DEN,W
DEN @ UTA,L
BOS @ MIA,W
MIA vs. BOS,L
DAL @ SAS,L
SAS vs. DAL,W
LAL @ OKC,L
OKC vs. LAL,W
PHX @ POR,W
POR vs. PHX,L
CHI vs. CLE,W
CLE @ CHI,L
SAS @ DAL,W
DAL vs. SAS,L
CHA @ ORL,L
ORL vs. CHA,W
ATL vs. MIL,W
MIL @ ATL,L
BOS vs. MIA,W
MIA @ BOS,L
POR @ PHX,L
PHX vs. POR,W
OKC @ LAL,L
LAL vs. OKC,W
UTA @ DEN,W
DEN vs. UTA,L
CLE vs. CHI,W
CHI @ CLE,L
DAL vs. SAS,W
SAS @ DAL,L
ORL vs. CHA,W
CHA @ ORL,L
POR @ PHX,W
PHX vs. POR,L
OKC @ LAL,L
LAL vs. OKC,W
DEN vs. UTA,W
UTA @ DEN,L
MIL @ ATL,L
ATL vs. MIL,W
CLE vs. CHI,W
CHI @ CLE,L
MIA @ BOS,L
