MATCH UP,W/L
CHA vs. PHI,W
PHI @ CHA,L
MIN vs. MIL,W
MIL @ MIN,L
DEN vs. MEM,W
MEM @ DEN,L
DAL vs. NOH,W
NOH @ DAL,L
IND vs. NYK,W
NYK @ IND,L
MIA vs. ATL,W
ATL @ MIA,L
LAC @ HOU,L
HOU vs. LAC,W
DET @ CLE,W
CLE vs. DET,L
ORL vs. WAS,W
WAS @ ORL,L
NJN @ BOS,L
BOS vs. NJN,W
POR @ PHX,L
PHX vs. POR,W
TOR @ CHI,L
CHI vs. TOR,W
UTA @ SAS,L
SAS vs. UTA,W
GSW vs. SEA,L
SEA @ GSW,W
LAC @ NOH,L
NOH vs. LAC,W
ORL @ ATL,W
ATL vs. ORL,L
MEM @ POR,L
POR vs. MEM,W
MIN @ DET,L
DET vs. MIN,W
NJN vs. CHA,W
CHA @ NJN,L
SAC @ LAL,L
LAL vs. SAC,W
WAS vs. IND,W
IND @ WAS,L
TOR vs. MIA,W
MIA @ TOR,L
SAC vs. SAS,L
SAS @ SAC,W
MIL vs. CHI,L
CHI @ MIL,W
HOU @ UTA,L
UTA vs. HOU,W
PHX vs. GSW,W
GSW @ PHX,L
BOS @ NYK,W
NYK vs. BOS,L
CLE @ PHI,W
PHI vs. CLE,L
SEA vs. DAL,W
DAL @ SEA,L
DEN vs. HOU,W
HOU @ DEN,L
DET vs. TOR,W
TOR @ DET,L
MIA @ CLE,L
CLE vs. MIA,W
CHI vs. ORL,L
ORL @ CHI,W
SAS @ LAL,L
LAL vs. SAS,W
MEM vs. MIN,L
MIN @ MEM,W
WAS vs. PHI,W
PHI @ WAS,L
NOH @ SAC,L
SAC vs. NOH,W
NJN @ MIL,W
MIL vs. NJN,L
BOS @ ATL,W
ATL vs. BOS,L
CHA @ IND,W
IND vs. CHA,L
DEN @ UTA,L
UTA vs. DEN,W
POR vs. DAL,W
DAL @ POR,L
GSW vs. LAC,W
LAC @ GSW,L
NJN @ TOR,L
TOR vs. NJN,W
SAC vs. POR,W
POR @ SAC,L
MEM @ MIA,W
MIA vs. MEM,L
DET vs. WAS,W
WAS @ DET,L
HOU vs. PHX,W
PHX @ HOU,L
ORL vs. MIN,L
MIN @ ORL,W
MIL @ BOS,L
BOS vs. MIL,W
NYK vs. ATL,L
ATL @ NYK,W
CLE @ CHI,L
CHI vs. CLE,W
NOH @ LAL,L
LAL vs. NOH,W
SAS vs. SEA,W
SEA @ SAS,L
PHI vs. IND,L
IND @ PHI,W
DAL vs. UTA,W
UTA @ DAL,L
LAC vs. LAL,L
LAL @ LAC,W
GSW vs. DEN,L
DEN @ GSW,W
WAS vs. BOS,W
BOS @ WAS,L
TOR vs. MIL,W
MIL @ TOR,L
MIN vs. NOH,L
NOH @ MIN,W
HOU vs. SEA,W
SEA @ HOU,L
CLE vs. NJN,W
NJN @ CLE,L
CHI @ ORL,L
ORL vs. CHI,W
CHA @ NYK,L
NYK vs. CHA,W
PHX @ SAS,W
SAS vs. PHX,L
DET @ PHI,L
PHI vs. DET,W
CHA vs. MIN,W
MIN @ CHA,L
PHX @ MEM,W
MEM vs. PHX,L
NOH vs. UTA,L
UTA @ NOH,W
MIL vs. BOS,L
BOS @ MIL,W
SEA @ DAL,L
DAL vs. SEA,W
ATL @ IND,L
IND vs. ATL,W
LAL @ POR,L
POR vs. LAL,W
CHI @ MIA,L
MIA vs. CHI,W
NYK @ DET,W
DET vs. NYK,L
LAC vs. DEN,L
DEN @ LAC,W
SAC @ GSW,L
GSW vs. SAC,W
SEA vs. DEN,W
DEN @ SEA,L
GSW @ NOH,L
NOH vs. GSW,W
MIN vs. MEM,L
MEM @ MIN,W
SAC vs. LAL,L
LAL @ SAC,W
MIL @ IND,L
IND vs. MIL,W
SAS @ POR,W
POR vs. SAS,L
DET @ MIA,W
MIA vs. DET,L
LAC vs. HOU,L
HOU @ LAC,W
PHX vs. DAL,L
DAL @ PHX,W
ORL @ NYK,L
NYK vs. ORL,W
BOS @ CHA,W
CHA vs. BOS,L
SAC @ DEN,W
DEN vs. SAC,L
ORL @ CLE,W
CLE vs. ORL,L
TOR @ NJN,L
NJN vs. TOR,W
WAS @ CHI,W
CHI vs. WAS,L
PHI vs. ATL,L
ATL @ PHI,W
HOU @ SEA,W
SEA vs. HOU,L
GSW @ MEM,W
MEM vs. GSW,L
CHA @ TOR,W
TOR vs. CHA,L
MIA @ WAS,L
WAS vs. MIA,W
NOH vs. NYK,W
NYK @ NOH,L
IND @ MIL,W
MIL vs. IND,L
ATL vs. PHI,L
PHI @ ATL,W
SAS @ UTA,L
UTA vs. SAS,W
DET vs. NJN,W
NJN @ DET,L
PHX vs. MIN,W
MIN @ PHX,L
LAL vs. DAL,W
DAL @ LAL,L
SAC vs. LAC,W
LAC @ SAC,L
POR vs. HOU,L
HOU @ POR,W
CHI @ CLE,W
CLE vs. CHI,L
SEA vs. LAC,L
LAC @ SEA,W
CHA vs. CLE,L
CLE @ CHA,W
MEM vs. NYK,W
NYK @ MEM,L
WAS vs. MIL,L
MIL @ WAS,W
DAL vs. GSW,W
GSW @ DAL,L
TOR @ ATL,L
ATL vs. TOR,W
UTA vs. MIN,W
MIN @ UTA,L
MIA vs. NOH,L
NOH @ MIA,W
IND @ BOS,L
BOS vs. IND,W
POR @ LAL,L
LAL vs. POR,W
DET @ MIN,W
MIN vs. DET,L
DEN vs. PHX,W
PHX @ DEN,L
SAC vs. HOU,W
HOU @ SAC,L
MIL vs. NYK,W
NYK @ MIL,L
ORL vs. NOH,L
NOH @ ORL,W
PHI @ NJN,W
NJN vs. PHI,L
BOS @ CHI,W
CHI vs. BOS,L
GSW @ SAS,L
SAS vs. GSW,W
CHA vs. TOR,L
TOR @ CHA,W
MEM vs. ATL,L
ATL @ MEM,W
IND vs. MIA,W
MIA @ IND,L
UTA vs. WAS,W
WAS @ UTA,L
LAC vs. DAL,L
DAL @ LAC,W
DEN @ PHX,L
PHX vs. DEN,W
SAC @ SEA,W
SEA vs. SAC,L
TOR vs. NOH,L
NOH @ TOR,W
MIN vs. UTA,W
UTA @ MIN,L
NYK @ ATL,L
ATL vs. NYK,W
CLE vs. PHI,W
PHI @ CLE,L
MIA @ BOS,L
BOS vs. MIA,W
WAS @ LAL,L
LAL vs. WAS,W
HOU @ SAS,L
SAS vs. HOU,W
DAL @ GSW,L
GSW vs. DAL,W
GSW @ DEN,L
DEN vs. GSW,W
POR vs. CHA,L
CHA @ POR,W
CLE @ DET,L
DET vs. CLE,W
MEM @ LAC,L
LAC vs. MEM,W
NJN vs. PHX,L
PHX @ NJN,W
MIL @ CHI,L
CHI vs. MIL,W
CHA @ SEA,W
SEA vs. CHA,L
NYK @ TOR,L
TOR vs. NYK,W
SAC vs. WAS,L
WAS @ SAC,W
MIL vs. ORL,L
ORL @ MIL,W
CHI @ ATL,L
ATL vs. CHI,W
IND vs. NJN,W
NJN @ IND,L
LAC @ UTA,L
UTA vs. LAC,W
NOH @ BOS,L
BOS vs. NOH,W
MEM @ LAL,W
LAL vs. MEM,L
MIN @ SAS,L
SAS vs. MIN,W
PHI vs. PHX,L
PHX @ PHI,W
DEN vs. DAL,W
DAL @ DEN,L
MIA @ DET,L
DET vs. MIA,W
GSW vs. POR,W
POR @ GSW,L
WAS @ SEA,W
SEA vs. WAS,L
DET @ TOR,L
TOR vs. DET,W
SAC vs. MEM,W
MEM @ SAC,L
MIL @ ATL,L
ATL vs. MIL,W
HOU vs. MIN,W
MIN @ HOU,L
NOH @ CLE,W
CLE vs. NOH,L
BOS vs. PHX,W
PHX @ BOS,L
NJN vs. IND,W
IND @ NJN,L
NYK vs. MIA,W
MIA @ NYK,L
LAL vs. CHA,L
CHA @ LAL,W
LAC @ SAS,L
SAS vs. LAC,W
PHI vs. CHI,W
CHI @ PHI,L
LAC @ DAL,L
DAL vs. LAC,W
NOH @ IND,W
IND vs. NOH,L
CHA @ UTA,L
UTA vs. CHA,W
WAS @ POR,L
POR vs. WAS,W
ORL vs. SAS,L
SAS @ ORL,W
CHI vs. ATL,W
ATL @ CHI,L
POR @ SEA,L
SEA vs. POR,W
DEN @ MEM,W
MEM vs. DEN,L
MIL @ MIA,L
MIA vs. MIL,W
DET vs. PHX,W
PHX @ DET,L
HOU vs. SAC,W
SAC @ HOU,L
PHI @ BOS,W
BOS vs. PHI,L
NJN @ NYK,W
NYK vs. NJN,L
LAL @ GSW,W
GSW vs. LAL,L
DEN @ TOR,W
TOR vs. DEN,L
DET @ WAS,L
WAS vs. DET,W
SAS @ DAL,W
DAL vs. SAS,L
GSW @ LAL,W
LAL vs. GSW,L
CHA vs. MIA,W
MIA @ CHA,L
SAC @ MEM,L
MEM vs. SAC,W
BOS @ NOH,L
NOH vs. BOS,W
NYK @ MIN,L
MIN vs. NYK,W
MIL vs. CLE,W
CLE @ MIL,L
ATL vs. ORL,W
ORL @ ATL,L
UTA vs. SEA,W
SEA @ UTA,L
LAC vs. POR,L
POR @ LAC,W
PHX vs. HOU,W
HOU @ PHX,L
CHI vs. IND,L
IND @ CHI,W
PHI vs. NJN,W
NJN @ PHI,L
IND vs. MIN,W
MIN @ IND,L
POR vs. LAC,W
LAC @ POR,L
MIA vs. WAS,L
WAS @ MIA,W
CLE vs. TOR,W
TOR @ CLE,L
PHI @ ORL,L
ORL vs. PHI,W
NJN vs. DEN,L
DEN @ NJN,W
NYK vs. MEM,L
MEM @ NYK,W
LAL vs. SEA,W
SEA @ LAL,L
SAS vs. SAC,W
SAC @ SAS,L
GSW vs. HOU,L
HOU @ GSW,W
BOS @ DAL,W
DAL vs. BOS,L
LAL @ UTA,W
UTA vs. LAL,L
CHI vs. SAS,L
SAS @ CHI,W
PHX @ SEA,W
SEA vs. PHX,L
MIA @ TOR,L
TOR vs. MIA,W
NOH vs. HOU,W
HOU @ NOH,L
MIN vs. MEM,W
MEM @ MIN,L
CHA @ IND,L
IND vs. CHA,W
DET @ CLE,L
CLE vs. DET,W
ORL vs. WAS,L
WAS @ ORL,W
GSW @ LAC,W
LAC vs. GSW,L
ATL @ NJN,L
NJN vs. ATL,W
PHI vs. DEN,W
DEN @ PHI,L
SAC vs. GSW,W
GSW @ SAC,L
MIL vs. MIA,L
MIA @ MIL,W
LAL @ DAL,W
DAL vs. LAL,L
POR vs. PHX,L
PHX @ POR,W
DEN @ DET,L
DET vs. DEN,W
BOS @ HOU,W
HOU vs. BOS,L
CHI vs. NJN,W
NJN @ CHI,L
MEM vs. CHA,W
CHA @ MEM,L
ATL @ WAS,W
WAS vs. ATL,L
CHI @ NOH,L
NOH vs. CHI,W
LAC @ MIN,L
MIN vs. LAC,W
NYK @ IND,L
IND vs. NYK,W
TOR @ UTA,L
UTA vs. TOR,W
ORL vs. CLE,W
CLE @ ORL,L
SAS vs. BOS,L
BOS @ SAS,W
DEN vs. SEA,W
SEA @ DEN,L
TOR @ SAC,L
SAC vs. TOR,W
DET vs. NOH,W
NOH @ DET,L
MIA vs. DAL,L
DAL @ MIA,W
HOU vs. LAL,W
LAL @ HOU,L
CHA @ CLE,L
CLE vs. CHA,W
ATL @ NYK,W
NYK vs. ATL,L
LAC @ WAS,L
WAS vs. LAC,W
BOS @ MIL,W
MIL vs. BOS,L
MIN @ POR,L
POR vs. MIN,W
ORL vs. IND,W
IND @ ORL,L
UTA @ NJN,L
NJN vs. UTA,W
SAC @ PHX,L
PHX vs. SAC,W
GSW vs. MEM,W
MEM @ GSW,L
SAS @ PHI,L
PHI vs. SAS,W
MIN @ SEA,W
SEA vs. MIN,L
LAL @ NOH,L
NOH vs. LAL,W
TOR @ DEN,L
DEN vs. TOR,W
DAL vs. IND,W
IND @ DAL,L
LAC @ ATL,L
ATL vs. LAC,W
MIA vs. ORL,L
ORL @ MIA,W
DET vs. SAS,W
SAS @ DET,L
CHA @ HOU,L
HOU vs. CHA,W
UTA @ BOS,W
BOS vs. UTA,L
PHI @ CHI,W
CHI vs. PHI,L
CLE @ WAS,L
WAS vs. CLE,W
POR @ SAC,L
SAC vs. POR,W
GSW @ PHX,L
PHX vs. GSW,W
SAS @ NOH,L
NOH vs. SAS,W
MEM @ DEN,L
DEN vs. MEM,W
UTA @ MIL,W
MIL vs. UTA,L
CHA @ DAL,L
DAL vs. CHA,W
ATL vs. HOU,L
HOU @ ATL,W
NYK @ MIA,W
MIA vs. NYK,L
DET vs. PHI,L
PHI @ DET,W
LAC @ ORL,L
ORL vs. LAC,W
BOS vs. SEA,W
SEA @ BOS,L
NJN vs. CLE,W
CLE @ NJN,L
GSW vs. TOR,W
TOR @ GSW,L
MIL @ WAS,L
WAS vs. MIL,W
POR @ MIN,W
MIN vs. POR,L
SEA @ IND,L
IND vs. SEA,W
PHX vs. MEM,W
MEM @ PHX,L
UTA @ CHI,L
CHI vs. UTA,W
TOR @ LAL,L
LAL vs. TOR,W
NYK @ DAL,L
DAL vs. NYK,W
LAC @ MIA,W
MIA vs. LAC,L
HOU vs. NJN,W
NJN @ HOU,L
POR @ CLE,L
CLE vs. POR,W
ORL vs. ATL,W
ATL @ ORL,L
DEN @ SAS,L
SAS vs. DEN,W
PHI vs. BOS,L
BOS @ PHI,W
SEA @ TOR,L
TOR vs. SEA,W
MIL vs. PHI,L
PHI @ MIL,W
DET vs. CHI,W
CHI @ DET,L
SAS @ PHX,L
PHX vs. SAS,W
LAL vs. SAC,L
SAC @ LAL,W
BOS @ MEM,W
MEM vs. BOS,L
WAS vs. CHA,L
CHA @ WAS,W
DAL vs. NJN,W
NJN @ DAL,L
ATL vs. MIA,W
MIA @ ATL,L
UTA vs. DEN,W
DEN @ UTA,L
HOU vs. NOH,W
NOH @ HOU,L
IND @ CLE,L
CLE vs. IND,W
ORL vs. GSW,L
GSW @ ORL,W
MIN @ LAC,W
LAC vs. MIN,L
NYK vs. POR,L
POR @ NYK,W
ATL @ CHA,L
CHA vs. ATL,W
WAS @ TOR,W
TOR vs. WAS,L
NJN @ NOH,L
NOH vs. NJN,W
DEN vs. SAS,W
SAS @ DEN,L
SAC vs. MIN,L
MIN @ SAC,W
POR @ MIL,W
MIL vs. POR,L
GSW @ MIA,W
MIA vs. GSW,L
BOS vs. CHI,W
CHI @ BOS,L
PHX vs. UTA,L
UTA @ PHX,W
NYK vs. DET,L
DET @ NYK,W
LAL vs. LAC,W
LAC @ LAL,L
SEA @ PHI,L
PHI vs. SEA,W
DAL vs. HOU,L
HOU @ DAL,W
CLE @ CHI,L
CHI vs. CLE,W
SAS vs. IND,W
IND @ SAS,L
GSW @ CHA,L
CHA vs. GSW,W
NJN @ MEM,L
MEM vs. NJN,W
ORL @ WAS,W
WAS vs. ORL,L
ATL @ NOH,L
NOH vs. ATL,W
PHX @ DEN,L
DEN vs. PHX,W
MIL vs. SEA,W
SEA @ MIL,L
UTA vs. MIN,W
MIN @ UTA,L
MIA vs. TOR,L
TOR @ MIA,W
IND @ HOU,L
HOU vs. IND,W
LAC vs. SAC,W
SAC @ LAC,L
DET @ BOS,L
BOS vs. DET,W
NYK vs. CLE,L
CLE @ NYK,W
CHA @ MIN,W
MIN vs. CHA,L
SAC vs. LAL,L
LAL @ SAC,W
ATL vs. GSW,L
GSW @ ATL,W
POR vs. PHX,L
PHX @ POR,W
