TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHA,CHA vs. NYK,04/26/2012,L,240,84,32,74,43.2,6,16,37.5,14,26,53.8,8,31,39,20,5,9,16,16,-20
NYK,NYK @ CHA,04/26/2012,W,240,104,44,85,51.8,8,20,40.0,8,15,53.3,6,30,36,31,7,6,11,21,20
ORL,ORL @ MEM,04/26/2012,L,240,76,30,73,41.1,7,26,26.9,9,15,60.0,8,26,34,14,9,8,15,19,-12
MEM,MEM vs. ORL,04/26/2012,W,240,88,34,72,47.2,2,12,16.7,18,22,81.8,9,36,45,18,6,5,14,16,12
NJN,NJN @ TOR,04/26/2012,L,240,67,25,83,30.1,6,18,33.3,11,16,68.8,12,27,39,15,9,2,15,15,-31
TOR,TOR vs. NJN,04/26/2012,W,240,98,37,88,42.0,10,19,52.6,14,18,77.8,15,43,58,23,7,5,14,12,31
WAS,WAS vs. MIA,04/26/2012,W,240,104,42,76,55.3,5,10,50.0,15,24,62.5,7,36,43,27,15,3,16,21,34
MIA,MIA @ WAS,04/26/2012,L,240,70,24,67,35.8,4,18,22.2,18,24,75.0,7,24,31,11,7,5,22,16,-34
DEN,DEN @ MIN,04/26/2012,W,240,131,56,89,62.9,5,10,50.0,14,20,70.0,12,36,48,30,9,4,16,22,29
MIN,MIN vs. DEN,04/26/2012,L,240,102,40,89,44.9,10,27,37.0,12,19,63.2,8,21,29,22,5,4,13,14,-29
LAL,LAL @ SAC,04/26/2012,L,240,96,41,91,45.1,7,15,46.7,7,9,77.8,11,30,41,27,4,3,15,14,-17
SAC,SAC vs. LAL,04/26/2012,W,240,113,47,92,51.1,6,15,40.0,13,18,72.2,14,34,48,21,6,7,8,10,17
DAL,DAL @ ATL,04/26/2012,L,240,89,33,78,42.3,5,15,33.3,18,23,78.3,9,31,40,20,9,3,16,11,-17
ATL,ATL vs. DAL,04/26/2012,W,240,106,45,85,52.9,9,27,33.3,7,9,77.8,5,36,41,28,8,3,16,17,17
UTA,UTA vs. POR,04/26/2012,W,240,96,35,83,42.2,6,19,31.6,20,27,74.1,13,35,48,15,10,8,12,18,2
POR,POR @ UTA,04/26/2012,L,240,94,36,80,45.0,6,25,24.0,16,19,84.2,6,30,36,24,8,3,14,19,-2
NOH,NOH @ HOU,04/26/2012,L,240,77,27,68,39.7,5,15,33.3,18,30,60.0,5,39,44,15,10,5,15,14,-7
HOU,HOU vs. NOH,04/26/2012,W,240,84,32,91,35.2,9,28,32.1,11,14,78.6,16,40,56,21,7,5,11,21,7
DET,DET vs. PHI,04/26/2012,W,240,108,41,81,50.6,14,32,43.8,12,16,75.0,10,33,43,29,6,5,13,14,22
PHI,PHI @ DET,04/26/2012,L,240,86,34,87,39.1,5,15,33.3,13,16,81.3,18,28,46,21,6,1,11,12,-22
MIL,MIL @ BOS,04/26/2012,L,240,74,29,78,37.2,2,9,22.2,14,23,60.9,11,38,49,17,11,4,23,14,-13
BOS,BOS vs. MIL,04/26/2012,W,240,87,35,87,40.2,8,24,33.3,9,11,81.8,6,38,44,27,14,7,15,18,13
CHI,CHI vs. CLE,04/26/2012,W,240,107,45,85,52.9,5,16,31.3,12,17,70.6,12,48,60,29,5,7,9,17,32
CLE,CLE @ CHI,04/26/2012,L,240,75,28,87,32.2,2,13,15.4,17,26,65.4,13,25,38,8,4,3,9,9,-32
GSW,GSW vs. SAS,04/26/2012,L,240,101,45,87,51.7,2,8,25.0,9,12,75.0,8,34,42,25,8,5,16,14,-6
SAS,SAS @ GSW,04/26/2012,W,240,107,42,96,43.8,9,31,29.0,14,17,82.4,19,35,54,27,7,5,13,14,6
DEN,DEN @ OKC,04/25/2012,W,240,106,40,90,44.4,8,23,34.8,18,30,60.0,17,25,42,21,8,4,11,20,5
OKC,OKC vs. DEN,04/25/2012,L,240,101,39,79,49.4,10,24,41.7,13,15,86.7,11,26,37,18,6,13,18,26,-5
MIL,MIL vs. PHI,04/25/2012,L,240,85,36,81,44.4,6,16,37.5,7,9,77.8,9,43,52,26,8,11,21,14,-5
PHI,PHI @ MIL,04/25/2012,W,240,90,36,101,35.6,5,16,31.3,13,18,72.2,16,35,51,24,12,6,11,9,5
IND,IND vs. CHI,04/25/2012,L,240,87,35,80,43.8,6,14,42.9,11,16,68.8,7,27,34,16,9,4,11,10,-5
CHI,CHI @ IND,04/25/2012,W,240,92,38,81,46.9,6,17,35.3,10,10,100.0,9,35,44,27,5,5,13,17,5
WAS,WAS @ CLE,04/25/2012,W,240,96,40,91,44.0,4,16,25.0,12,16,75.0,20,30,50,21,12,4,15,19,11
CLE,CLE vs. WAS,04/25/2012,L,240,85,34,77,44.2,4,17,23.5,13,18,72.2,11,31,42,18,10,2,18,18,-11
ORL,ORL vs. CHA,04/25/2012,W,240,102,33,82,40.2,14,38,36.8,22,28,78.6,15,32,47,21,6,2,13,28,7
CHA,CHA @ ORL,04/25/2012,L,240,95,31,70,44.3,5,17,29.4,28,32,87.5,6,31,37,18,3,5,13,24,-7
SAS,SAS @ PHX,04/25/2012,W,240,110,41,88,46.6,8,22,36.4,20,23,87.0,12,33,45,23,6,2,14,19,4
PHX,PHX vs. SAS,04/25/2012,L,240,106,45,94,47.9,5,13,38.5,11,13,84.6,12,31,43,19,5,8,15,16,-4
NYK,NYK vs. LAC,04/25/2012,W,240,99,36,77,46.8,9,24,37.5,18,24,75.0,8,28,36,18,9,2,8,18,6
LAC,LAC @ NYK,04/25/2012,L,240,93,34,70,48.6,11,25,44.0,14,25,56.0,9,31,40,19,6,3,14,20,-6
OKC,OKC vs. SAC,04/24/2012,W,240,118,38,81,46.9,9,20,45.0,33,36,91.7,12,31,43,22,5,8,14,24,8
SAC,SAC @ OKC,04/24/2012,L,240,110,43,82,52.4,4,16,25.0,20,27,74.1,6,28,34,19,10,8,12,20,-8
ATL,ATL vs. LAC,04/24/2012,W,240,109,43,86,50.0,11,24,45.8,12,14,85.7,14,28,42,24,7,4,15,17,7
LAC,LAC @ ATL,04/24/2012,L,240,102,40,80,50.0,8,19,42.1,14,20,70.0,9,26,35,18,9,4,14,14,-7
UTA,UTA vs. PHX,04/24/2012,W,240,100,37,87,42.5,4,13,30.8,22,29,75.9,14,42,56,23,9,8,13,21,12
PHX,PHX @ UTA,04/24/2012,L,240,88,34,84,40.5,5,23,21.7,15,23,65.2,6,36,42,18,5,3,15,22,-12
MIA,MIA @ BOS,04/24/2012,L,240,66,28,73,38.4,6,17,35.3,4,7,57.1,8,36,44,20,7,6,25,19,-12
BOS,BOS vs. MIA,04/24/2012,W,240,78,32,74,43.2,4,12,33.3,10,16,62.5,4,34,38,15,11,6,15,11,12
GSW,GSW vs. NOH,04/24/2012,L,240,81,33,79,41.8,6,14,42.9,9,13,69.2,9,28,37,18,6,6,15,19,-2
NOH,NOH @ GSW,04/24/2012,W,240,83,31,71,43.7,2,5,40.0,19,31,61.3,14,29,43,22,9,6,14,17,2
MEM,MEM vs. CLE,04/23/2012,W,240,109,38,81,46.9,5,13,38.5,28,36,77.8,17,25,42,18,14,8,13,19,8
CLE,CLE @ MEM,04/23/2012,L,240,101,37,80,46.3,11,24,45.8,16,22,72.7,13,23,36,19,8,5,17,21,-8
WAS,WAS vs. CHA,04/23/2012,W,240,101,46,83,55.4,2,18,11.1,7,12,58.3,9,36,45,28,12,5,18,25,28
CHA,CHA @ WAS,04/23/2012,L,240,73,25,73,34.2,4,15,26.7,19,23,82.6,10,25,35,12,6,4,24,14,-28
TOR,TOR @ MIL,04/23/2012,L,240,86,34,76,44.7,4,14,28.6,14,18,77.8,10,39,49,24,5,3,22,26,-6
MIL,MIL vs. TOR,04/23/2012,W,240,92,29,78,37.2,6,17,35.3,28,36,77.8,11,32,43,16,10,7,11,17,6
DET,DET @ IND,04/23/2012,L,240,97,38,83,45.8,8,16,50.0,13,22,59.1,15,27,42,16,8,9,18,26,-6
IND,IND vs. DET,04/23/2012,W,240,103,35,92,38.0,4,15,26.7,29,38,76.3,22,34,56,21,13,4,15,20,6
NJN,NJN vs. PHI,04/23/2012,L,240,87,31,72,43.1,4,14,28.6,21,23,91.3,7,28,35,15,3,2,15,16,-18
PHI,PHI @ NJN,04/23/2012,W,240,105,43,80,53.8,5,14,35.7,14,17,82.4,7,26,33,25,6,8,7,16,18
POR,POR @ SAS,04/23/2012,L,240,89,37,96,38.5,6,16,37.5,9,11,81.8,14,24,38,19,10,5,14,18,-35
SAS,SAS vs. POR,04/23/2012,W,240,124,48,81,59.3,12,22,54.5,16,21,76.2,8,39,47,34,11,8,16,9,35
CHA,CHA vs. SAC,04/22/2012,L,240,88,39,89,43.8,2,15,13.3,8,14,57.1,16,29,45,28,3,8,21,15,-26
SAC,SAC @ CHA,04/22/2012,W,240,114,48,87,55.2,3,9,33.3,15,20,75.0,9,28,37,23,13,6,8,19,26
MIN,MIN vs. GSW,04/22/2012,L,240,88,30,82,36.6,7,26,26.9,21,21,100.0,9,37,46,18,1,10,13,13,-5
GSW,GSW @ MIN,04/22/2012,W,240,93,41,92,44.6,5,16,31.3,6,10,60.0,11,34,45,18,6,7,9,17,5
DEN,DEN vs. ORL,04/22/2012,W,240,101,44,78,56.4,5,15,33.3,8,11,72.7,9,34,43,32,5,5,16,18,27
ORL,ORL @ DEN,04/22/2012,L,240,74,28,75,37.3,6,23,26.1,12,17,70.6,12,21,33,19,9,2,16,16,-27
NYK,NYK @ ATL,04/22/2012,W,240,113,43,79,54.4,12,19,63.2,15,20,75.0,7,30,37,21,13,1,18,21,1
ATL,ATL vs. NYK,04/22/2012,L,240,112,41,76,53.9,15,23,65.2,15,23,65.2,5,28,33,23,13,7,19,19,-1
HOU,HOU @ MIA,04/22/2012,L,240,88,35,76,46.1,7,20,35.0,11,13,84.6,7,30,37,17,9,4,19,19,-9
